name	prize	up_or_downregulated
VCAM1	3.838296974	1
IGHV1-46	2.164978956	1
CD14	2.068389976	1
CA1	1.993092427	1
QSOX1	1.447095548	1
LBP	1.336342171	1
FCN2	1.269522989	1
CPN1	1.190548489	1
IGHV2-26	1.175341248	1
CFHR1	1.15669435	1
SERPINA4	1.142443509	1
APOC3	0.793420866	1
HBB	0.769419743	1
C4BPA	0.558602314	1
APOB	0.429515578	1
IGF2	2.749284886	-1
PI16	2.274028037	-1
HSPA5	3.237945915	1
IGHV3-49	1.415435724	1
C8B	1.357606191	1
F12	1.288157981	1
ORM2	1.269937682	1
APCS	1.185718074	1
AGT	1.040894826	1
F13B	0.987692854	1
APOA2	0.886826517	1
C9	0.738782789	1
GC	0.722888538	1
SERPINA6	0.654481303	1
CFH	0.532471597	1
A2M	0.380395617	1
VIM	4.489093382	-1
EEF1A1	4.298240466	-1
H2AC20	4.145812496	-1
NPM1	4.030634977	-1
H2BC21	3.418696115	-1
ACTB	1.815546731	-1
AZGP1	0.442739588	-1
IGKV1D-13	5.547322723	1
S100A9	4.91538182	1
PCSK9	4.108653704	1
MB	4.022672059	1
SOD1	3.66199392	1
IGHV1-24	3.390711013	1
UGP2	3.141497099	1
ANPEP	2.358374779	1
NRP1	2.282037688	1
BCHE	1.584217432	1
FCGBP	1.546877397	1
IGHV5-51	1.471795821	1
TIMP1	1.305056705	1
C1QA	1.201679814	1
MST1	1.151315699	1
TGFBI	0.981812389	1
TTR	0.867087971	1
IGHG4	0.860903221	1
SERPINA1	0.587984364	1
IGLV9-49	2.846966145	-1
IGKV2-29	1.673194665	-1
CLEC3B	1.218309205	-1
ITIH2	0.689063118	-1
FCGR3A	1.280633313	1
SERPINA3	1.271391403	1
HP	1.147787321	1
SERPING1	1.08773467	1
SAA4	1.02975308	1
C2	0.764997353	1
HPX	0.70522287	1
CFI	0.68005318	1
CP	0.631514708	1
ITIH4	0.623438674	1
C3	0.617619102	1
C5	0.592556517	1
C4B	0.574809161	1
APOA4	0.647244718	-1
ALB	0.32316212	-1
B2M	1.934665586	1
GGH	1.867022624	1
IGKV4-1	1.501955403	1
IGKV3-20	1.316362233	1
SERPINF2	1.227929273	1
A1BG	0.958512403	1
CPN2	0.927540861	1
CFB	0.793409669	1
PLG	0.656343406	1
PROS1	0.638695936	1
ENO1	6.340892575	-1
SELENOP	1.630947104	-1
VWF	3.107747612	1
F9	2.221766847	1
KRTDAP	2.110734376	1
ORM1	1.759193522	1
LGALS3BP	1.562882904	1
ITIH3	1.365495943	1
F10	1.239768404	1
IGHG2	0.938986313	1
HPR	0.77574793	1
HABP2	0.619738738	1
C4A	0.587900215	1
PRSS1	1.262953487	-1
SAA2	8.988624458	1
SAA1	5.079657441	1
CRP	4.484050818	1
FGB	4.052051359	1
CFD	1.180074122	1
FGA	0.704974451	1
C6	0.550028084	1
IGLC7	1.317283328	-1
IGKV1-5	1.02785422	-1
IGFBP3	0.861675915	-1
APOA1	0.54797671	-1
